Sl_No,r2,Port 1
385,0.127628,2.708
386,0.127908,2.7229
387,0.128188,2.727
388,0.128468,2.7513
389,0.128749,2.7387
390,0.129029,2.7171
391,0.129309,2.7136
392,0.12959,2.7356
393,0.12987,2.7097
394,0.13015,2.7581
395,0.13043,2.7494
396,0.130711,2.7257
397,0.130991,2.708
398,0.131271,2.7549
399,0.131552,2.7338
400,0.131832,2.7548
401,0.132112,2.7131
402,0.132392,2.7286
403,0.132673,2.7383
404,0.132953,2.7394
405,0.133233,2.7324
406,0.133514,2.7488
407,0.133794,2.7238
408,0.134074,2.7378
409,0.134354,2.7419
410,0.134635,2.7478
411,0.134915,2.7507
412,0.135195,2.723
413,0.135475,2.7166
414,0.135756,2.7585
415,0.136036,2.744
416,0.136316,2.7274
417,0.136597,2.7616
418,0.136877,2.7397
419,0.137157,2.7553
420,0.137437,2.7384
421,0.137718,2.7681
422,0.137998,2.7633
423,0.138278,2.7332
424,0.138559,2.7516
425,0.138839,2.747
426,0.139119,2.7582
427,0.139399,2.7237
428,0.13968,2.7492
429,0.13996,2.7557
430,0.14024,2.7146
431,0.140521,2.7247
432,0.140801,2.7135
433,0.141081,2.7421
434,0.141361,2.7593
435,0.141642,2.7739
436,0.141922,2.7558
437,0.142202,2.7828
438,0.142482,2.7419
439,0.142763,2.7419
440,0.143043,2.772
441,0.143323,2.7846
442,0.143604,2.7851
443,0.143884,2.7619
444,0.144164,2.7997
445,0.144444,2.7904
446,0.144725,2.8297
447,0.145005,2.8357
448,0.145285,2.8275
449,0.145566,2.846
450,0.145846,2.8504
451,0.146126,2.8784
452,0.146406,2.9068
453,0.146687,2.8909
454,0.146967,2.9262
455,0.147247,2.9233
456,0.147528,2.9315
457,0.147808,2.9532
458,0.148088,2.9498
459,0.148368,2.9665
460,0.148649,2.9651
461,0.148929,3.0
462,0.149209,2.9957
463,0.149489,2.9882
464,0.14977,3.0
465,0.15005,2.9981
466,0.15033,2.9937
467,0.150611,3.0
468,0.150891,2.9971
469,0.151171,2.9695
470,0.151451,2.9591
471,0.151732,2.9527
472,0.152012,2.9103
473,0.152292,2.9092
474,0.152573,2.9388
475,0.152853,2.9289
476,0.153133,2.886
477,0.153413,2.8839
478,0.153694,2.8655
479,0.153974,2.8928
480,0.154254,2.8497
481,0.154535,2.8179
482,0.154815,2.7932
483,0.155095,2.7722
484,0.155375,2.7893
485,0.155656,2.7658
486,0.155936,2.7478
487,0.156216,2.7524
488,0.156496,2.7397
489,0.156777,2.7759
490,0.157057,2.7593
491,0.157337,2.7421
492,0.157618,2.7612
493,0.157898,2.7376
494,0.158178,2.7215
495,0.158458,2.7557
496,0.158739,2.7398
497,0.159019,2.7153
498,0.159299,2.7275
499,0.15958,2.717
500,0.15986,2.7093
501,0.16014,2.7439
502,0.16042,2.7588
503,0.160701,2.7094
504,0.160981,2.7392
505,0.161261,2.7215
506,0.161542,2.7246
507,0.161822,2.7239
508,0.162102,2.7209
509,0.162382,2.7358
510,0.162663,2.7241
511,0.162943,2.7424
512,0.163223,2.7395
513,0.163504,2.739
514,0.163784,2.7315
515,0.164064,2.7393
516,0.164344,2.7625
517,0.164625,2.7622
518,0.164905,2.7439
519,0.165185,2.7643
520,0.165465,2.7787
521,0.165746,2.747
522,0.166026,2.7848
523,0.166306,2.7712
524,0.166587,2.7938
525,0.166867,2.7774
526,0.167147,2.7648
527,0.167427,2.7696
528,0.167708,2.796
529,0.167988,2.7993
530,0.168268,2.7807
531,0.168549,2.8013
532,0.168829,2.7627
533,0.169109,2.7808
534,0.169389,2.7559
535,0.16967,2.7545
536,0.16995,2.7531
537,0.17023,2.7252
538,0.170511,2.7161
539,0.170791,2.7189
540,0.171071,2.6756
541,0.171351,2.6762
542,0.171632,2.6254
543,0.171912,2.6286
544,0.172192,2.6204
545,0.172472,2.5402
546,0.172753,2.5443
547,0.173033,2.5449
548,0.173313,2.5144
549,0.173594,2.5059
550,0.173874,2.476
551,0.174154,2.4733
552,0.174434,2.4593
553,0.174715,2.4717
554,0.174995,2.4539
555,0.175275,2.4544
556,0.175556,2.4458
557,0.175836,2.4502
558,0.176116,2.4591
559,0.176396,2.4818
560,0.176677,2.4817
561,0.176957,2.506
562,0.177237,2.5476
563,0.177518,2.5451
564,0.177798,2.5433
565,0.178078,2.5823
566,0.178358,2.5741
567,0.178639,2.565
568,0.178919,2.5948
569,0.179199,2.5949
570,0.179479,2.6291
571,0.17976,2.6441
572,0.18004,2.676
573,0.18032,2.6602
574,0.180601,2.654
575,0.180881,2.6694
576,0.181161,2.6214
577,0.181441,2.6538
578,0.181722,2.6557
579,0.182002,2.6142
580,0.182282,2.6444
581,0.182563,2.6219
582,0.182843,2.5991
583,0.183123,2.6025
584,0.183403,2.614
585,0.183684,2.569
586,0.183964,2.556
587,0.184244,2.5311
588,0.184525,2.511
589,0.184805,2.5221
590,0.185085,2.483
591,0.185365,2.4835
592,0.185646,2.4623
593,0.185926,2.4641
594,0.186206,2.4497
595,0.186486,2.4483
596,0.186767,2.4135
597,0.187047,2.4057
598,0.187327,2.384
599,0.187608,2.3811
600,0.187888,2.3827
601,0.188168,2.3779
602,0.188448,2.3423
603,0.188729,2.3589
604,0.189009,2.356
605,0.189289,2.3318
606,0.18957,2.3436
607,0.18985,2.2938
608,0.19013,2.2766
609,0.19041,2.2585
610,0.190691,2.2975
611,0.190971,2.2747
612,0.191251,2.254
613,0.191532,2.2489
614,0.191812,2.2177
615,0.192092,2.2612
616,0.192372,2.2165
617,0.192653,2.2062
618,0.192933,2.2056
619,0.193213,2.1921
620,0.193493,2.1786
621,0.193774,2.1537
622,0.194054,2.1632
623,0.194334,2.1749
624,0.194615,2.1577
625,0.194895,2.1523
626,0.195175,2.1118
627,0.195455,2.0958
628,0.195736,2.1002
629,0.196016,2.0945
630,0.196296,2.1018
631,0.196577,2.052
632,0.196857,2.0925
633,0.197137,2.0596
634,0.197417,2.0482
635,0.197698,2.0324
636,0.197978,2.0159
637,0.198258,2.0465
638,0.198539,2.029
639,0.198819,2.0025
640,0.199099,1.9967
641,0.199379,2.0057
642,0.19966,2.0307
643,0.19994,1.9971
644,0.20022,1.974
645,0.200501,1.9888
646,0.200781,1.9847
647,0.201061,1.9449
648,0.201341,1.9814
649,0.201622,1.9759
650,0.201902,1.9873
651,0.202182,2.0023
652,0.202462,1.9894
653,0.202743,1.9666
654,0.203023,1.9525
655,0.203303,2.0063
656,0.203584,1.9675
657,0.203864,1.9658
658,0.204144,1.9645
659,0.204424,1.9672
660,0.204705,1.9616
661,0.204985,1.9549
662,0.205265,1.9551
663,0.205546,1.9628
664,0.205826,1.9552
665,0.206106,1.9529
666,0.206386,1.9654
667,0.206667,1.9603
668,0.206947,1.9871
669,0.207227,1.9253
670,0.207508,1.9819
671,0.207788,1.9848
672,0.208068,1.9355
673,0.208348,1.962
674,0.208629,1.9622
675,0.208909,1.9472
676,0.209189,1.9571
677,0.209469,1.9526
678,0.20975,1.996
679,0.21003,1.9841
680,0.21031,1.9894
681,0.210591,1.9813
682,0.210871,1.9535
683,0.211151,1.9624
684,0.211431,1.9773
685,0.211712,1.9509
686,0.211992,1.979
687,0.212272,1.9634
688,0.212553,1.9598
689,0.212833,1.974
690,0.213113,1.9675
691,0.213393,1.9525
692,0.213674,1.9718
693,0.213954,1.9342
694,0.214234,1.9551
695,0.214515,1.9495
696,0.214795,1.9301
697,0.215075,1.9331
698,0.215355,1.9022
699,0.215636,1.927
700,0.215916,1.9021
701,0.216196,1.8884
702,0.216476,1.903
703,0.216757,1.8677
704,0.217037,1.8481
705,0.217317,1.8369
706,0.217598,1.8606
707,0.217878,1.8238
708,0.218158,1.8612
709,0.218438,1.7962
710,0.218719,1.8459
711,0.218999,1.8175
712,0.219279,1.8075
713,0.21956,1.7965
714,0.21984,1.8073
715,0.22012,1.7987
716,0.2204,1.8149
717,0.220681,1.8002
718,0.220961,1.8019
719,0.221241,1.7963
720,0.221522,1.8037
721,0.221802,1.8126
722,0.222082,1.7863
723,0.222362,1.7962
724,0.222643,1.8324
725,0.222923,1.8288
726,0.223203,1.8287
727,0.223483,1.8368
728,0.223764,1.8468
729,0.224044,1.8384
730,0.224324,1.8393
731,0.224605,1.8581
732,0.224885,1.844
733,0.225165,1.8678
734,0.225445,1.8384
735,0.225726,1.881
736,0.226006,1.8737
737,0.226286,1.8709
738,0.226567,1.8817
739,0.226847,1.8913
740,0.227127,1.8804
741,0.227407,1.8359
742,0.227688,1.8422
743,0.227968,1.8495
744,0.228248,1.8564
745,0.228529,1.8604
746,0.228809,1.8381
747,0.229089,1.8478
748,0.229369,1.8293
749,0.22965,1.8269
750,0.22993,1.8101
751,0.23021,1.8123
752,0.23049,1.8008
753,0.230771,1.8013
754,0.231051,1.8268
755,0.231331,1.7922
756,0.231612,1.8419
757,0.231892,1.8064
758,0.232172,1.7992
759,0.232452,1.782
760,0.232733,1.8048
761,0.233013,1.7865
762,0.233293,1.7991
763,0.233574,1.8394
764,0.233854,1.805
765,0.234134,1.8311
766,0.234414,1.8127
767,0.234695,1.8342
768,0.234975,1.8752
769,0.235255,1.8556
770,0.235536,1.9108
771,0.235816,1.9148
772,0.236096,1.9183
773,0.236376,1.9602
774,0.236657,1.9908
775,0.236937,2.012
776,0.237217,2.0066
777,0.237497,2.0473
778,0.237778,2.083
779,0.238058,2.1142
780,0.238338,2.1533
781,0.238619,2.175
782,0.238899,2.1801
783,0.239179,2.2329
784,0.239459,2.2625
785,0.23974,2.2866
786,0.24002,2.3178
787,0.2403,2.336
788,0.240581,2.3506
789,0.240861,2.3615
790,0.241141,2.3552
791,0.241421,2.4029
792,0.241702,2.4149
793,0.241982,2.4301
794,0.242262,2.4204
795,0.242543,2.436
796,0.242823,2.4801
797,0.243103,2.4753
798,0.243383,2.4974
799,0.243664,2.4985
800,0.243944,2.5093
801,0.244224,2.5336
802,0.244505,2.5226
803,0.244785,2.5428
804,0.245065,2.5457
805,0.245345,2.5578
806,0.245626,2.5714
807,0.245906,2.5912
808,0.246186,2.5923
809,0.246466,2.6296
810,0.246747,2.6081
811,0.247027,2.6288
812,0.247307,2.6341
813,0.247588,2.6706
814,0.247868,2.6587
815,0.248148,2.6768
816,0.248428,2.6429
817,0.248709,2.6714
818,0.248989,2.681
819,0.249269,2.6671
820,0.24955,2.6778
821,0.24983,2.6475
822,0.25011,2.6672
823,0.25039,2.6688
824,0.250671,2.6146
825,0.250951,2.5968
826,0.251231,2.6067
827,0.251512,2.5882
828,0.251792,2.5345
829,0.252072,2.5124
830,0.252352,2.4895
831,0.252633,2.4475
832,0.252913,2.4269
833,0.253193,2.3979
834,0.253473,2.3732
835,0.253754,2.3556
836,0.254034,2.331
837,0.254314,2.322
838,0.254595,2.2553
839,0.254875,2.2571
840,0.255155,2.2117
841,0.255435,2.1875
842,0.255716,2.1724
843,0.255996,2.1202
844,0.256276,2.1183
845,0.256557,2.0913
846,0.256837,2.0731
847,0.257117,2.0478
848,0.257397,2.0588
849,0.257678,1.9917
850,0.257958,1.9734
851,0.258238,1.9528
852,0.258519,1.9354
853,0.258799,1.9166
854,0.259079,1.9272
855,0.259359,1.9147
856,0.25964,1.8697
857,0.25992,1.8515
858,0.2602,1.8575
859,0.26048,1.8295
860,0.260761,1.8354
861,0.261041,1.818
862,0.261321,1.7821
863,0.261602,1.8187
864,0.261882,1.814
865,0.262162,1.7702
866,0.262442,1.7668
867,0.262723,1.771
868,0.263003,1.7666
869,0.263283,1.7672
870,0.263564,1.7841
871,0.263844,1.7488
872,0.264124,1.7378
873,0.264404,1.7282
874,0.264685,1.738
875,0.264965,1.7493
876,0.265245,1.7785
877,0.265526,1.7465
878,0.265806,1.7614
879,0.266086,1.7626
880,0.266366,1.7868
881,0.266647,1.8142
882,0.266927,1.7771
883,0.267207,1.7881
884,0.267487,1.8229
885,0.267768,1.8311
886,0.268048,1.8639
887,0.268328,1.8622
888,0.268609,1.8672
889,0.268889,1.9027
890,0.269169,1.9338
891,0.269449,1.9551
892,0.26973,1.9784
893,0.27001,2.0171
894,0.27029,2.0515
895,0.270571,2.0895
896,0.270851,2.1151
897,0.271131,2.1406
898,0.271411,2.1838
899,0.271692,2.2387
900,0.271972,2.2472
901,0.272252,2.3034
902,0.272533,2.3294
903,0.272813,2.3719
904,0.273093,2.425
905,0.273373,2.4409
906,0.273654,2.4684
907,0.273934,2.4738
908,0.274214,2.5285
909,0.274494,2.5462
910,0.274775,2.5839
911,0.275055,2.557
912,0.275335,2.5702
913,0.275616,2.5715
914,0.275896,2.5885
915,0.276176,2.5572
916,0.276456,2.554
917,0.276737,2.548
918,0.277017,2.5292
919,0.277297,2.5063
920,0.277578,2.5022
921,0.277858,2.5018
922,0.278138,2.4575
923,0.278418,2.4635
924,0.278699,2.4415
925,0.278979,2.463
926,0.279259,2.4183
927,0.27954,2.4325
928,0.27982,2.4506
929,0.2801,2.4772
930,0.28038,2.4665
931,0.280661,2.4772
932,0.280941,2.5356
933,0.281221,2.5107
934,0.281502,2.5271
935,0.281782,2.5963
936,0.282062,2.6131
937,0.282342,2.6371
938,0.282623,2.6951
939,0.282903,2.7197
940,0.283183,2.7382
941,0.283463,2.7564
942,0.283744,2.8155
943,0.284024,2.8363
944,0.284304,2.8457
945,0.284585,2.8915
946,0.284865,2.8599
947,0.285145,2.8601
948,0.285425,2.8743
949,0.285706,2.881
950,0.285986,2.878
951,0.286266,2.8595
952,0.286547,2.8538
953,0.286827,2.8121
954,0.287107,2.8323
955,0.287387,2.7871
956,0.287668,2.7811
957,0.287948,2.7443
958,0.288228,2.7201
959,0.288509,2.6955
960,0.288789,2.6675
961,0.289069,2.6448
962,0.289349,2.6306
963,0.28963,2.5905
964,0.28991,2.577
965,0.29019,2.5461
966,0.29047,2.5525
967,0.290751,2.5064
968,0.291031,2.5312
969,0.291311,2.493
970,0.291592,2.4632
971,0.291872,2.479
972,0.292152,2.4604
973,0.292432,2.4779
974,0.292713,2.451
975,0.292993,2.4501
976,0.293273,2.425
977,0.293554,2.4433
978,0.293834,2.4106
979,0.294114,2.4199
980,0.294394,2.4514
981,0.294675,2.4476
982,0.294955,2.4372
983,0.295235,2.4105
984,0.295516,2.4174
985,0.295796,2.4099
986,0.296076,2.3828
987,0.296356,2.4114
988,0.296637,2.3887
989,0.296917,2.3569
990,0.297197,2.343
991,0.297477,2.3257
992,0.297758,2.2693
993,0.298038,2.2707
994,0.298318,2.2356
995,0.298599,2.199
996,0.298879,2.1746
997,0.299159,2.167
998,0.299439,2.107
999,0.29972,2.0422
1000,0.3,2.0086
